material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3404142F0,I-09-01-L5,I,9,5,1,17
3404143F0,I-09-02-L5,I,9,5,1,17
3404186FPR12,F-09-03-L4,F,9,4,1,8
3404190F0AG,J-16-01-L5,J,16,5,1,10
3404190F0SN,E-09-01-L1,E,9,1,0,4
3404190T0SN,G-03-02-L5,G,3,5,1,364
3404249F0,I-03-03-L6,I,3,6,1,1268
3404251F0,F-02-02-L0,F,2,0,0,451
3404258F0,G-03-01-L8,G,3,8,1,358
3404270FBR07,E-02-02-L7,E,2,7,1,202
3404270FPR12,F-11-03-L2,F,11,2,0,4
3404272F0,B-03-02-L2,B,3,2,0,90
3404273F0,J-17-01-L4,J,17,4,1,10
3404308F0,F-04-02-L3,F,4,3,1,179
3404312F0,E-02-01-L2,E,2,2,0,215
3404313FPR12,F-11-01-L3,F,11,3,1,4
3404314FBR14,A-07-03-L3,A,7,3,1,2
3404314FPR12,F-11-02-L3,F,11,3,1,4
3404315FBR14,A-07-01-L4,A,7,4,1,2
3404315FPR12,F-11-03-L3,F,11,3,1,4
3404316FPR12,F-11-01-L4,F,11,4,1,4
3404317FPR12,A-07-02-L4,A,7,4,1,2
3404318FPR12,A-07-03-L4,A,7,4,1,2
3404352F0,E-06-01-L2,E,6,2,0,15
3404354F0,F-03-01-L1,F,3,1,0,309
3404355F0,B-03-01-L6,B,3,6,1,89
3404356F0,I-04-01-L7,I,4,7,1,514
3404357F0,B-12-02-L7,B,12,7,1,54
3404438FPR12,F-09-01-L5,F,9,5,1,8
3404440FBR07,I-05-02-L4,I,5,4,1,348
3404440FPR12,F-09-02-L5,F,9,5,1,8
3404462F0,J-07-01-L5,J,7,5,1,398
3404463F0,J-07-02-L5,J,7,5,1,398
3404464F0,H-03-01-L6,H,3,6,1,788
3404467F0,J-07-03-L7,J,7,7,1,385
3404468F0,F-02-01-L8,F,2,8,1,411
3404470F0,J-07-03-L5,J,7,5,1,398
3404473F0,J-07-01-L6,J,7,6,1,398
3404474F0,J-07-03-L4,J,7,4,1,398
3404708F0,H-04-02-L6,H,4,6,1,451
3404709F0,H-04-03-L7,H,4,7,1,451
3404717FBR07,J-09-03-L2,J,9,2,0,172
3404717FBR14,A-07-01-L5,A,7,5,1,2
3404718FBR07,J-09-02-L4,J,9,4,1,170
3404718FBR14,A-07-02-L5,A,7,5,1,2
3404719F0,B-04-03-L7,B,4,7,1,80
3404720F0,B-03-01-L5,B,3,5,1,89
3404721F0,B-05-03-L2,B,5,2,0,78
3404722F0,J-13-02-L7,J,13,7,1,11
3404725F0,G-06-03-L0,G,6,0,0,53
3404726F0,G-06-02-L0,G,6,0,0,53
3404729F0,G-06-01-L1,G,6,1,0,53
3404730F0,C-08-01-L6,C,8,6,1,34
3404731F0,J-10-01-L5,J,10,5,1,106
3404732F0,C-06-01-L3,C,6,3,1,39
3404733F0,C-06-03-L2,C,6,2,0,39
3404734F0,B-08-02-L1,B,8,1,0,67
3404735F0,B-08-03-L1,B,8,1,0,67
3404752F0,G-06-03-L4,G,6,4,1,53
3404756F0,E-05-03-L8,E,5,8,1,19
3404790F0,F-03-02-L3,F,3,3,1,306
3404791F0,B-03-02-L5,B,3,5,1,89
3405054F0,G-03-01-L1,G,3,1,0,378
3405054T0,F-05-01-L0,F,5,0,0,118
