material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
51000602,U-02-02-L0,U,2,0,0,4
51000619,D-01-01-L3,D,1,3,1,0
51000623,I-06-02-L5,I,6,5,1,0
51000646,F-07-03-L3,F,7,3,1,16
51000683,J-16-01-L2,J,16,2,0,10
51000689,A-03-01-L6,A,3,6,1,10
51000691-21S07,G-06-02-L2,G,6,2,0,0
51000691-22S07,B-05-02-L1,B,5,1,0,0
51000691S07,B-03-02-L8,B,3,8,1,87
51000692,A-04-03-L8,A,4,8,1,0
51000703,C-05-02-L7,C,5,7,1,40
5100070301,D-11-01-L0,D,11,0,0,2
51000704,C-05-03-L7,C,5,7,1,40
51000736,B-09-01-L7,B,9,7,1,62
51000753,C-05-02-L1,C,5,1,0,42
51000782,A-07-02-L8,A,7,8,1,2
51000810,G-04-02-L5,G,4,5,1,0
51000821,F-12-01-L1,F,12,1,0,3
51000824,A-09-03-L1,A,9,1,0,1
51000861,J-17-02-L5,J,17,5,1,9
51000862,E-02-03-L1,E,2,1,0,0
51000862SN,E-09-02-L1,E,9,1,0,4
51000961,A-07-03-L8,A,7,8,1,2
5100096101,D-11-01-L1,D,11,1,0,2
51000975,F-03-03-L4,F,3,4,1,0
51000987SN,F-11-02-L5,F,11,5,1,4
51002502U33,E-06-02-L2,E,6,2,0,15
51004136U48,A-09-01-L2,A,9,2,0,0
51004137U41,D-11-01-L2,D,11,2,0,2
51004391U4,J-18-01-L2,J,18,2,0,5
51004391U8,H-11-01-L3,H,11,3,1,9
51004743UA,G-07-01-L6,G,7,6,1,0
51004743UE,G-07-02-L6,G,7,6,1,0
51006522M0,C-09-02-L2,C,9,2,0,32
51007512U13,D-11-01-L3,D,11,3,1,2
51108708M0,I-04-01-L0,I,4,0,0,543
51164028F0,H-04-01-L1,H,4,1,0,463
51164031F0,C-08-01-L7,C,8,7,1,0
51164072F0,J-08-03-L5,J,8,5,1,0
51164089F0,C-10-01-L2,C,10,2,0,30
51164090F0,F-02-02-L3,F,2,3,1,439
51164098F0,G-02-03-L0,G,2,0,0,509
51164108F0,B-07-03-L5,B,7,5,1,69
51164109F0,F-02-01-L3,F,2,3,1,440
51164181F0,J-08-02-L3,J,8,3,1,287
51164195F0,C-03-02-L7,C,3,7,1,45
51164196F0,D-04-02-L0,D,4,0,0,18
51164272F0,B-04-02-L1,B,4,1,0,0
51164273F0,B-04-03-L1,B,4,1,0,0
51164286F0,F-02-02-L5,F,2,5,1,0
51164287F0,C-04-02-L8,C,4,8,1,0
51164289F0,D-02-01-L7,D,2,7,1,122
51164302F0,C-09-02-L3,C,9,3,1,0
51164302F0_SISMIC,G-06-03-L5,G,6,5,1,0
51164306F0,B-04-02-L3,B,4,3,1,0
51164333F0,G-03-02-L2,G,3,2,0,0
51164336F0,F-08-03-L1,F,8,1,0,0
51164365FC,D-06-01-L1,D,6,1,0,0
51164407F0,G-01-03-L3,G,1,3,1,1083
51164417F0,H-03-01-L4,H,3,4,1,825
51164478F0,G-04-02-L3,G,4,3,1,0
51164483F0,I-04-01-L6,I,4,6,1,517
51164495F0,C-07-02-L0,C,7,0,0,0
51164500F0,B-05-01-L7,B,5,7,1,76
51164507F0,D-03-01-L1,D,3,1,0,25
51164508F0,G-05-01-L5,G,5,5,1,160
51164543F0,D-01-01-L7,D,1,7,1,185
51164559F0,H-10-03-L2,H,10,2,0,0
51189523F0,C-01-02-L7,C,1,7,1,0
51189527F0,E-09-03-L1,E,9,1,0,0
51189790F0,H-10-01-L3,H,10,3,1,0
51189792F0,H-10-02-L3,H,10,3,1,0
51189885F0,G-10-02-L1,G,10,1,0,0
51189972F0,C-04-03-L0,C,4,0,0,0
51189973F0,C-07-03-L0,C,7,0,0,0
51189975F0,F-04-01-L7,F,4,7,1,0
51189977F0,F-04-02-L7,F,4,7,1,0
51229055F0,H-04-02-L1,H,4,1,0,463
51229171F0,H-10-03-L3,H,10,3,1,14
51229172F0,B-10-02-L6,B,10,6,1,60
51229315F0,F-07-03-L4,F,7,4,1,0
51229316F0,G-07-03-L6,G,7,6,1,0
51229321F0,B-04-01-L2,B,4,2,0,0
51229323F0,F-02-02-L4,F,2,4,1,0
51229333F0,E-05-03-L3,E,5,3,1,0
51229343F0,E-09-01-L2,E,9,2,0,0
51229357F0,F-02-03-L4,F,2,4,1,0
51229362F0,I-10-01-L4,I,10,4,1,0
51229363F0,F-02-01-L5,F,2,5,1,0
51229368F0,C-04-03-L8,C,4,8,1,0
51229369F0,C-05-01-L0,C,5,0,0,0
51229371FB,U-04-01-L0,U,4,0,0,0
51235002F0,B-05-02-L0,B,5,0,0,79
51235003F0,C-03-03-L3,C,3,3,1,46
51235004F0,B-01-02-L8,B,1,8,1,99
51235005F1,B-12-02-L8,B,12,8,1,54
51235006F1,B-12-03-L8,B,12,8,1,54
51235014F0,F-02-02-L7,F,2,7,1,0
51235027F0,F-07-02-L2,F,7,2,0,17
51235028F0,B-07-02-L2,B,7,2,0,70
51235029F0,C-11-02-L5,C,11,5,1,28
51235030F0,B-01-01-L6,B,1,6,1,100
51235034F0,B-08-02-L7,B,8,7,1,66
51235035F0,B-02-03-L5,B,2,5,1,94
51235042F0,J-08-02-L0,J,8,0,0,295
