material_id,pick_count
51310686F0,11
51310694F0,21
51310697F0,8
51310698F0,2
51310700F0,2
51310704F0R07,4
51310710F0,7
51310713F0,3
51310718F0,26
51310724F0,2
51310725F0,2
51310791F0,19
51310807F0,2
51310809T0SN,2
51310811F0,2
51310812F0,2
51310813F0,5
51310841F0,4
51310854F0,31
51310855F0,18
51310856F0,3
51310857F0,1
51310857F0SN,4
51310860FA,4
51310861FA,2
51310862FA,1
51310862FD,1
51310863FA,2
51310863FD,1
51310863FESN,1
51310864FD,1
51310866FA,1
51310884F0,20
51310894F0,19
51310895F0,1
51310896F0,17
51310896F0SN,2
51310897F0,9
51310898F0,1
51310899F0,14
51310900F0,1
51310902F0,11
51310903F0,1
51310904F0,16
51310905F0,2
51310909F0,2
51310913F0,18
51310957F0,12
51310957F0AG,1
51310957F0SN,8
51310964F0,1
51310967F0,19
51310973F0,8
51310974F0,1
51310975F0,16
51310976F0,4
51310977F0,12
51310998F0SN,2
558965,19
56111360,1
56160003,33
56160005,29
56273,9
59634,2
59636,10
59705,1
59963,1
59968,10
59988,6
627150,1
7236259,1
732539,2
7897055EN,15
7897055TR,18
7897069EN,3
7897143EN,5
7897171EN,2
7897172EN,4
7897174EN,1
7897176EN,1
8066698,3
855293,2
855332,4
855869SN,7
859402,23
859403,24
859422,13
859422SN,10
859423,15
859423SN,7
859424SN,4
859427SN,1
859430,15
859441,7
859450,22
859456,15
859464,3
859489,11
859500,1
859534,5
859606T0SN,4
859694,14
859764,8
87000,18
87004R06,13
87007,17
87008,7
87011,15
87015,19
87026,5
87031,12
87035,2
87037,3
87063,14
87170,6
87171,13
87191,8
87194,4
87262,18
87329,2
87340,6
87352,2
87527,1
87722,43
87723,18
87728,7
87790,33
877942F,6
87995,9
88606,20
88613,8
88616,4
88622,24
886661,1
88673,4
88690,1
88701,15
88717,14
887191HF,6
887191HM,9
88725,13
88726,30
88796,4
88798,8
888407,1
888493,1
889705AF,13
889705AH,4
889705AM,31
889705BE,1
889705BF,4
889705BH,1
889705BJ,1
889705BM,33
889772AB,3
889772AH,1
889773AX,1
89478,8
A9A15310,2
A9A26904,2
A9A26909,8
A9F74206,1
A9F84201,2
A9F84202,27
A9F84203,13
A9F84206,9
A9F84216,1
A9F84401,5
A9F84402,6
A9F94202,1
A9F94302,3
A9F94304,1
A9N26904,6
A9N26907,17
A9N26909,4
A9N61522,25
A9N61523,3
A9N61524,1
A9N61525,5
A9N61526,7
A9N61528,4
A9N61531,9
A9N61533,1
A9V41225,7
AAA12703F0,3
AAA12731F0,9
AAA12734F0,2
AAA12737F0,4
AAA12759F0,3
AAA12772F0,10
AAA12773F0,5
AAA12774F0,13
AAA12775F0,15
AAA12835F0,2
AAA12968F0-K,4
AAA12972F0-K,12
AAA12973F0,5
AAA12974F0-K,3
AAA12975F0-K,14
AAA12976F0,20
AAA12976F0-K,13
AAA13034F0-K,10
AAA13036F0-K,14
AAA13106F0,4
AAA13118F0,1
AAA20033F0,2
AAA20107F0R14,1
AAA20111F0,3
AAM17477F0,1
AAS10003T0,3
AAS10003T0SN,1
AAS10009T0,9
AAS10014T0SN,1
AAS10016T0SN,1
AAS10028T0,5
AAS10037T0,2
AAS10042T0SN,2
AAS10045T0SN,2
AAS10066T0,4
AAS10069T0,11
AAS10070T0,1
AAS10073T0,4
AAS10073T0SN,5
AAS10087T0,9
AAS10088T0,4
AAS10099T0,4
AAS10123T0,3
AAS10126T0,7
AAS10137T0,4
AAS10311T0,14
AAS10312T0,4
AAS10490T0,11
AAS10571T0,6
AAS10572T0,8
AAS10573T0,9
AAS10575T0,1
AAS10638T0,1
AAS10649T0,7
AAS10675T0R07,5
AAS10676T0R07,5
AAS10678T0R07,2
AAS10679T0,8
AAS10680T0,3
AAS10681T0R07,3
AAS10682T0R07,13
AAS10683T0R07,4
AAS10684T0R07,7
AAS10685T0R07,7
AAS10697T0R07,6
AAS10698T0,10
AAS10699T0R07,5
AAS10700T0,4
AAS10716T0,2
AAS10720T0,3
AAS10721T0,1
AAS10722T0,3
AAS10723T0,1
AAS10733T0,6
AAS10733T0SN,3
AAS10737T0,5
AAS10738T0,6
AAS10820T0,6
AAS10869T0,1
AAS10870T0,1
AAS10873T0,1
AAS10876T0R07,1
AAS10881T0R07,1
AAS10886T0,4
AAS10887T0,4
AAS10891T0,3
AAS10896T0R07,2
AAS10897T0,1
AAS10898T0,4
AAS10905T0,2
AAS10907T0,1
AAS10921T0,1
AAS10923T0,18
AAS10924T0,15
AAS10925T0,14
AAS30113TCSN,1
AAS30114TASN,1
AAS40372T0,1
AAS40630T0,1
AAS40647T0,1
AAS40651T0SN,7
AAS40652T0,8
AAS40653T0SN,3
AAS40654T0SN,4
AAS40656T0SN,3
AAS41214TB,1
AAS41481TA,11
AAS41481TB,8
AAS41481TC,2
AAS41482T0,10
AAS41483TA,1
AAS41484T0,8
AAS41485T0,8
AAS41512T0,10
AAS41517TC,5
AAS41518TA,8
AAS41518TB,9
AAS41518TC,5
AAS41583T0,11
AAS41584T0,13
AAS41585T0,8
AAS41586T0,8
