material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3404142F0,E-06-03-L5,E,6,5,1,17
3404143F0,D-05-01-L5,D,5,5,1,17
3404186FPR12,C-04-01-L7,C,4,7,1,8
3404190F0AG,I-03-03-L6,I,3,6,1,10
3404190F0SN,C-04-02-L7,C,4,7,1,4
3404190T0SN,G-05-02-L1,G,5,1,0,364
3404249F0,G-07-03-L3,G,7,3,1,1268
3404251F0,F-05-01-L1,F,5,1,0,451
3404258F0,C-07-02-L1,C,7,1,0,358
3404270FBR07,I-06-01-L2,I,6,2,0,202
3404270FPR12,F-08-01-L7,F,8,7,1,4
3404272F0,G-12-01-L3,G,12,3,1,90
3404273F0,U-01-01-L1,U,1,1,0,10
3404308F0,B-10-03-L2,B,10,2,0,179
3404312F0,I-02-03-L2,I,2,2,0,215
3404313FPR12,F-08-02-L7,F,8,7,1,4
3404314FBR14,F-08-03-L7,F,8,7,1,2
3404314FPR12,F-08-01-L8,F,8,8,1,4
3404315FBR14,F-08-02-L8,F,8,8,1,2
3404315FPR12,F-08-03-L8,F,8,8,1,4
3404316FPR12,I-10-01-L5,I,10,5,1,4
3404317FPR12,I-10-02-L5,I,10,5,1,2
3404318FPR12,I-10-03-L5,I,10,5,1,2
3404352F0,A-07-01-L5,A,7,5,1,15
3404354F0,C-02-01-L1,C,2,1,0,309
3404355F0,B-12-03-L4,B,12,4,1,89
3404356F0,E-08-01-L0,E,8,0,0,514
3404357F0,B-04-03-L4,B,4,4,1,54
3404438FPR12,C-04-03-L7,C,4,7,1,8
3404440FBR07,C-07-03-L1,C,7,1,0,348
3404440FPR12,C-04-01-L8,C,4,8,1,8
3404462F0,B-08-02-L1,B,8,1,0,398
3404463F0,B-08-03-L1,B,8,1,0,398
3404464F0,G-07-02-L0,G,7,0,0,788
3404467F0,G-06-03-L1,G,6,1,0,385
3404468F0,B-02-03-L1,B,2,1,0,411
3404470F0,B-09-01-L1,B,9,1,0,398
3404473F0,B-09-02-L1,B,9,1,0,398
3404474F0,B-07-03-L1,B,7,1,0,398
3404708F0,I-03-01-L1,I,3,1,0,451
3404709F0,G-01-03-L1,G,1,1,0,451
3404717FBR07,B-02-02-L2,B,2,2,0,172
3404717FBR14,I-10-01-L6,I,10,6,1,2
3404718FBR07,B-02-03-L2,B,2,2,0,170
