material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3404143F0,J-17-02-L0,J,17,0,0,17
3404186FPR12,F-02-03-L4,F,2,4,1,2
3404190F0AG,U-13-01-L0,U,13,0,0,5
3404190F0SN,F-02-03-L5,F,2,5,1,2
3404190T0SN,F-02-01-L1,F,2,1,0,182
3404249F0,J-04-01-L2,J,4,2,0,319
3404251F0,J-03-02-L0,J,3,0,0,451
3404258F0,F-04-02-L1,F,4,1,0,92
3404270FBR07,E-02-03-L2,E,2,2,0,103
3404270FPR12,J-07-03-L3,J,7,3,1,2
3404272F0,J-09-01-L0,J,9,0,0,90
3404273F0,E-09-03-L1,E,9,1,0,10
3404308F0,F-04-03-L0,F,4,0,0,92
3404312F0,E-02-01-L0,E,2,0,0,111
3404313FPR12,J-07-03-L4,J,7,4,1,2
3404314FBR14,J-07-03-L5,J,7,5,1,2
3404314FPR12,J-07-03-L6,J,7,6,1,2
3404315FBR14,J-07-03-L7,J,7,7,1,2
3404315FPR12,G-03-01-L3,G,3,3,1,2
3404316FPR12,H-03-02-L3,H,3,3,1,3
3404317FPR12,F-04-03-L6,F,4,6,1,1
3404318FPR12,F-04-03-L7,F,4,7,1,1
3404352F0,G-02-02-L4,G,2,4,1,2
3404354F0,A-02-01-L0,A,2,0,0,21
3404355F0,D-12-01-L2,D,12,2,0,6
3404356F0,H-10-02-L1,H,10,1,0,19
3404357F0,I-10-02-L2,I,10,2,0,18
3404438FPR12,F-02-03-L6,F,2,6,1,2
3404440FBR07,F-04-02-L2,F,4,2,0,92
3404440FPR12,F-02-03-L7,F,2,7,1,2
3404462F0,I-02-02-L2,I,2,2,0,398
3404463F0,I-02-03-L0,I,2,0,0,398
3404464F0,I-02-01-L1,I,2,1,0,399
3404467F0,H-02-01-L1,H,2,1,0,385
3404468F0,I-02-02-L0,I,2,0,0,398
3404470F0,I-02-03-L1,I,2,1,0,398
3404473F0,I-02-03-L2,I,2,2,0,398
3404474F0,I-02-02-L1,I,2,1,0,398
3404708F0,H-01-03-L0,H,1,0,0,451
3404709F0,J-03-01-L1,J,3,1,0,451
3404717FBR07,D-01-03-L1,D,1,1,0,94
3404717FBR14,G-03-01-L4,G,3,4,1,2
3404718FBR07,F-04-01-L0,F,4,0,0,93
3404718FBR14,G-03-01-L5,G,3,5,1,2
3404719F0,E-03-02-L2,E,3,2,0,80
3404720F0,J-09-03-L0,J,9,0,0,89
3404721F0,I-07-02-L0,I,7,0,0,78
3404722F0,G-12-03-L0,G,12,0,0,11
3404725F0,B-11-02-L2,B,11,2,0,53
3404726F0,B-11-01-L2,B,11,2,0,53
3404729F0,B-11-03-L0,B,11,0,0,53
3404730F0,C-11-01-L0,C,11,0,0,34
3404731F0,B-11-01-L0,B,11,0,0,53
3404732F0,C-06-03-L2,C,6,2,0,39
3404733F0,C-06-03-L1,C,6,1,0,39
3404734F0,B-11-02-L0,B,11,0,0,53
3404735F0,B-11-02-L1,B,11,1,0,53
3404752F0,B-12-02-L1,B,12,1,0,53
3404756F0,I-10-01-L0,I,10,0,0,19
3404790F0,B-09-02-L2,B,9,2,0,56
3404791F0,J-09-03-L1,J,9,1,0,89
3405054F0,H-02-02-L0,H,2,0,0,378
3405054T0,G-04-03-L1,G,4,1,0,118
3405064F0-K,G-04-01-L1,G,4,1,0,125
3405075F0,C-09-01-L1,C,9,1,0,36
3405103F0,F-06-02-L6,F,6,6,1,0
3405107F0,B-03-01-L6,B,3,6,1,0
3405190F0,U-03-01-L2,U,3,2,0,8
3405192F0,G-12-02-L2,G,12,2,0,11
3405193F0,D-06-01-L1,D,6,1,0,16
3405195F0,A-09-03-L2,A,9,2,0,7
3405205F0,B-04-03-L7,B,4,7,1,0
3405209F0,B-02-01-L3,B,2,3,1,0
3405210F0,A-11-02-L7,A,11,7,1,0
3405211F0,A-11-03-L7,A,11,7,1,0
3405212F0,B-02-02-L3,B,2,3,1,0
3405214F0,B-02-03-L3,B,2,3,1,0
3405216F0,B-02-01-L4,B,2,4,1,0
3405220F0,B-02-02-L4,B,2,4,1,0
3405243F0,A-12-01-L7,A,12,7,1,0
3405261F0,A-08-01-L7,A,8,7,1,0
3405264F0,F-06-01-L8,F,6,8,1,0
3405265F0,F-06-02-L8,F,6,8,1,0
3405266F0,G-07-01-L8,G,7,8,1,0
3405267F0,G-07-02-L8,G,7,8,1,0
3405269F0,G-07-03-L8,G,7,8,1,0
3405270F0,G-08-01-L8,G,8,8,1,0
3405271F0,F-08-03-L8,F,8,8,1,0
3405273F0-K,D-06-01-L0,D,6,0,0,16
3405294F0,J-15-01-L1,J,15,1,0,15
3405296F0,E-05-01-L8,E,5,8,1,0
3405309F0-K,G-07-01-L7,G,7,7,1,0
3405310F0,H-02-02-L6,H,2,6,1,3
3405310F0-K,F-08-02-L3,F,8,3,1,0
3405311F0,J-06-02-L7,J,6,7,1,2
3405338F0,J-15-01-L2,J,15,2,0,15
3405341F0,C-12-02-L6,C,12,6,1,0
3405355F0-K,E-05-02-L8,E,5,8,1,0
3405356F0,I-03-03-L5,I,3,5,1,3
3405364F0,A-12-02-L7,A,12,7,1,0
3405366F0,G-09-01-L8,G,9,8,1,0
3405374F0,C-08-02-L8,C,8,8,1,0
3405375F0,U-11-02-L2,U,11,2,0,5
3405376F0,A-05-02-L4,A,5,4,1,0
3405383F0,A-05-03-L4,A,5,4,1,0
3405384F0,A-05-01-L5,A,5,5,1,0
3405387F0,H-02-02-L7,H,2,7,1,3
3405387F0-K,D-04-02-L8,D,4,8,1,0
3405388F0-K,D-04-03-L8,D,4,8,1,0
3405389F0,J-04-02-L3,J,4,3,1,3
3405390F0,J-04-01-L4,J,4,4,1,3
3405392F0,A-03-01-L2,A,3,2,0,17
3405397F0,U-01-01-L1,U,1,1,0,12
3405398F0,D-06-01-L2,D,6,2,0,16
3405412F0,B-11-03-L8,B,11,8,1,0
3405434T0S07,E-07-03-L8,E,7,8,1,0
3405435F0,C-06-03-L8,C,6,8,1,0
3405444T0R14,E-08-02-L3,E,8,3,1,0
3405445F0,J-17-01-L4,J,17,4,1,0
3405453T0R14,A-05-02-L5,A,5,5,1,0
3405454F0,J-17-02-L4,J,17,4,1,0
3405472F0,B-07-02-L7,B,7,7,1,0
3405473F0,C-01-01-L8,C,1,8,1,0
3405474F0,C-03-02-L8,C,3,8,1,0
3405544F0,J-16-02-L7,J,16,7,1,0
3405544F0-K,B-05-03-L2,B,5,2,0,62
3405583F0,F-11-01-L8,F,11,8,1,0
3405583F0-K,A-03-02-L1,A,3,1,0,17
3405584F0,F-12-02-L8,F,12,8,1,0
3405584F0-K,A-03-02-L2,A,3,2,0,17
3405585F0-K,A-03-02-L0,A,3,0,0,17
3405610F0,E-10-01-L7,E,10,7,1,0
3405611F0,E-10-02-L7,E,10,7,1,0
3405612F0,G-09-02-L8,G,9,8,1,0
3405613F0,G-09-03-L8,G,9,8,1,0
3405618F0,J-10-02-L4,J,10,4,1,0
3405619F0,B-01-01-L3,B,1,3,1,0
3405636F0,C-05-03-L8,C,5,8,1,0
3405638F0,E-12-01-L8,E,12,8,1,0
3405639F0,E-12-02-L8,E,12,8,1,0
3405640F0,G-10-01-L7,G,10,7,1,0
3405641F0,B-11-01-L8,B,11,8,1,0
3405701F0,J-10-02-L7,J,10,7,1,0
3405718F0,U-10-02-L6,U,10,6,1,0
3405719F0,A-08-03-L7,A,8,7,1,0
3405720F0,A-03-01-L8,A,3,8,1,0
3405735F0,J-08-03-L4,J,8,4,1,1
3405736F0,G-04-01-L4,G,4,4,1,1
3405740F0,G-10-02-L7,G,10,7,1,0
3405743F0,E-11-02-L6,E,11,6,1,0
3405753F0,A-03-02-L8,A,3,8,1,0
3405772F0,E-12-03-L8,E,12,8,1,0
3405803F0,B-09-02-L7,B,9,7,1,0
3405811F0,C-09-03-L1,C,9,1,0,36
3405812F0,I-08-02-L0,I,8,0,0,30
3405813F0,C-01-03-L0,C,1,0,0,48
3405966F0,A-09-02-L0,A,9,0,0,7
3405966F0-H,J-01-01-L5,J,1,5,1,4
3405966F0-KH,F-07-03-L1,F,7,1,0,23
3405967F0,U-07-01-L0,U,7,0,0,7
3405967F0-H,I-02-02-L5,I,2,5,1,4
