material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
3404143F0,D-03-01-L7,D,3,7,1,17
3404186FPR12,A-06-02-L6,A,6,6,1,2
3404190F0AG,G-10-02-L6,G,10,6,1,5
3404190F0SN,A-06-03-L6,A,6,6,1,2
3404190T0SN,G-04-02-L8,G,4,8,1,182
3404249F0,G-03-01-L5,G,3,5,1,319
3404251F0,G-02-02-L1,G,2,1,0,451
3404258F0,H-07-01-L4,H,7,4,1,92
3404270FBR07,E-03-01-L1,E,3,1,0,103
3404270FPR12,U-03-01-L4,U,3,4,1,2
3404272F0,H-07-03-L7,H,7,7,1,90
3404273F0,H-10-01-L1,H,10,1,0,10
3404308F0,H-07-03-L4,H,7,4,1,92
3404312F0,G-05-02-L5,G,5,5,1,111
3404313FPR12,U-03-02-L4,U,3,4,1,2
3404314FBR14,U-03-01-L5,U,3,5,1,2
3404314FPR12,U-03-02-L5,U,3,5,1,2
3404315FBR14,U-03-01-L6,U,3,6,1,2
3404315FPR12,U-03-02-L6,U,3,6,1,2
3404316FPR12,E-09-03-L3,E,9,3,1,3
3404317FPR12,E-12-02-L4,E,12,4,1,1
3404318FPR12,E-12-03-L4,E,12,4,1,1
3404352F0,F-11-01-L7,F,11,7,1,2
3404354F0,C-09-03-L5,C,9,5,1,21
3404355F0,E-07-03-L7,E,7,7,1,6
3404356F0,C-11-02-L4,C,11,4,1,19
3404357F0,E-04-01-L6,E,4,6,1,18
3404438FPR12,A-06-01-L7,A,6,7,1,2
3404440FBR07,H-07-02-L4,H,7,4,1,92
3404440FPR12,A-06-02-L7,A,6,7,1,2
3404462F0,H-04-01-L6,H,4,6,1,398
3404463F0,H-04-02-L6,H,4,6,1,398
3404464F0,H-04-03-L4,H,4,4,1,399
3404467F0,F-02-03-L0,F,2,0,0,385
3404468F0,H-04-02-L5,H,4,5,1,398
3404470F0,H-04-03-L6,H,4,6,1,398
3404473F0,H-04-01-L7,H,4,7,1,398
3404474F0,H-04-03-L5,H,4,5,1,398
3404708F0,I-04-01-L6,I,4,6,1,451
3404709F0,G-02-03-L0,G,2,0,0,451
3404717FBR07,I-07-01-L7,I,7,7,1,94
3404717FBR14,E-10-01-L0,E,10,0,0,2
3404718FBR07,H-07-01-L1,H,7,1,0,93
3404718FBR14,E-10-02-L0,E,10,0,0,2
3404719F0,F-05-02-L6,F,5,6,1,80
3404720F0,D-02-03-L2,D,2,2,0,89
3404721F0,J-10-02-L3,J,10,3,1,78
3404722F0,E-06-01-L0,E,6,0,0,11
3404725F0,B-08-03-L3,B,8,3,1,53
3404726F0,B-08-03-L2,B,8,2,0,53
3404729F0,B-08-01-L4,B,8,4,1,53
3404730F0,C-02-03-L7,C,2,7,1,34
3404731F0,B-08-01-L2,B,8,2,0,53
3404732F0,G-06-01-L6,G,6,6,1,39
3404733F0,G-06-03-L5,G,6,5,1,39
3404734F0,B-08-01-L3,B,8,3,1,53
3404735F0,B-08-02-L3,B,8,3,1,53
3404752F0,B-08-02-L8,B,8,8,1,53
3404756F0,E-04-01-L1,E,4,1,0,19
3404790F0,B-07-03-L2,B,7,2,0,56
3404791F0,D-02-01-L3,D,2,3,1,89
3405054F0,F-02-01-L2,F,2,2,0,378
3405054T0,G-05-03-L1,G,5,1,0,118
3405064F0-K,J-09-01-L6,J,9,6,1,125
3405075F0,C-01-02-L8,C,1,8,1,36
3405103F0,H-02-03-L2,H,2,2,0,0
3405107F0,J-03-02-L1,J,3,1,0,0
3405190F0,F-08-01-L3,F,8,3,1,8
3405192F0,A-02-03-L8,A,2,8,1,11
3405193F0,F-06-01-L8,F,6,8,1,16
3405195F0,E-07-03-L4,E,7,4,1,7
3405205F0,F-02-02-L2,F,2,2,0,0
3405209F0,C-02-02-L0,C,2,0,0,0
3405210F0,E-03-02-L1,E,3,1,0,0
3405211F0,E-03-03-L1,E,3,1,0,0
3405212F0,C-02-03-L0,C,2,0,0,0
3405214F0,C-02-01-L1,C,2,1,0,0
3405216F0,C-02-02-L1,C,2,1,0,0
3405220F0,C-02-03-L1,C,2,1,0,0
3405243F0,E-03-01-L2,E,3,2,0,0
3405261F0,J-09-03-L4,J,9,4,1,0
3405264F0,B-03-03-L7,B,3,7,1,0
3405265F0,B-03-01-L8,B,3,8,1,0
3405266F0,B-03-02-L8,B,3,8,1,0
3405267F0,B-03-03-L8,B,3,8,1,0
3405269F0,B-04-01-L0,B,4,0,0,0
3405270F0,B-04-03-L7,B,4,7,1,0
3405271F0,B-06-01-L1,B,6,1,0,0
3405273F0-K,F-06-02-L7,F,6,7,1,16
3405294F0,H-09-01-L7,H,9,7,1,15
3405296F0,B-04-02-L0,B,4,0,0,0
3405309F0-K,H-05-02-L0,H,5,0,0,0
3405310F0,F-10-03-L1,F,10,1,0,3
3405310F0-K,H-11-03-L3,H,11,3,1,0
3405311F0,F-11-01-L1,F,11,1,0,2
3405338F0,H-09-02-L7,H,9,7,1,15
3405341F0,I-02-01-L7,I,2,7,1,0
3405355F0-K,B-04-03-L0,B,4,0,0,0
3405356F0,U-01-01-L3,U,1,3,1,3
3405364F0,E-03-02-L2,E,3,2,0,0
3405366F0,B-06-02-L1,B,6,1,0,0
3405374F0,B-01-01-L6,B,1,6,1,0
3405375F0,G-10-01-L1,G,10,1,0,5
3405376F0,E-10-03-L0,E,10,0,0,0
3405383F0,E-10-01-L1,E,10,1,0,0
3405384F0,E-10-02-L1,E,10,1,0,0
3405387F0,F-10-01-L2,F,10,2,0,3
3405387F0-K,B-04-02-L4,B,4,4,1,0
3405388F0-K,B-04-03-L4,B,4,4,1,0
3405389F0,J-18-02-L2,J,18,2,0,3
3405390F0,J-18-02-L0,J,18,0,0,3
3405392F0,D-03-02-L0,D,3,0,0,17
3405397F0,A-02-03-L0,A,2,0,0,12
3405398F0,F-06-02-L8,F,6,8,1,16
3405412F0,D-02-03-L4,D,2,4,1,0
3405434T0S07,B-06-01-L7,B,6,7,1,0
3405435F0,B-01-01-L3,B,1,3,1,0
3405444T0R14,U-01-01-L5,U,1,5,1,0
3405445F0,J-14-01-L5,J,14,5,1,0
3405453T0R14,E-10-03-L1,E,10,1,0,0
3405454F0,J-14-02-L5,J,14,5,1,0
3405472F0,F-02-02-L5,F,2,5,1,0
3405473F0,F-05-01-L3,F,5,3,1,0
3405474F0,J-10-02-L1,J,10,1,0,0
3405544F0,G-04-03-L1,G,4,1,0,0
3405544F0-K,B-05-03-L1,B,5,1,0,62
3405583F0,B-10-03-L0,B,10,0,0,0
3405583F0-K,D-03-01-L1,D,3,1,0,17
3405584F0,B-10-03-L6,B,10,6,1,0
3405584F0-K,D-03-02-L1,D,3,1,0,17
3405585F0-K,D-03-03-L0,D,3,0,0,17
3405610F0,F-04-01-L5,F,4,5,1,0
3405611F0,F-04-02-L5,F,4,5,1,0
3405612F0,B-06-03-L1,B,6,1,0,0
3405613F0,B-06-01-L2,B,6,2,0,0
3405618F0,C-01-03-L2,C,1,2,0,0
3405619F0,C-01-01-L3,C,1,3,1,0
3405636F0,J-10-01-L7,J,10,7,1,0
